Volatile_compounds,Analysis_method
1，2-Dimethyl-4-ethylbenzene,GC-MS
santene,GC-MS
beta－phellandrene,GC-MS
GermacreneB,GC-MS
beta－Myrceae,GC-MS
delta－cadinol,GC-MS
alpha－Muurolene,GC-MS
Caryophyllenol,GC-MS
oxalene,GC-MS
2，5-dimethoxy benzaldehyde,GC-MS
Terpinolenee,GC-MS
napthol,GC-MS
Benzene，1－methoxy－4－(1－propenyl)-,GC-MS
2(3H)－Naphthalenone，4，4a，5，6，7，8－hexahydro－4，4a－dimethyl－6－(1－methylethenyl)－,GC-MS
3－Cyclohexen－1－ol，4－methyl－1－(1－methylethyl)－,GC-MS
4－Carene,GC-MS
Benzene，1－methyl－2－(1－methylethyl)－,GC-MS
1，3，6－Octatriene，3，7－dimethyl－，(E) －,GC-MS
Phenol，2，2＇－methylenebis［6－(1，1－dimethylethyl)－4－methyl－,GC-MS
Bicyclo［311］heptane，6，6－dimethyl－2－methylene－，(1S)－,GC-MS
9，12，15- octadecatrien-1-ol,GC-MS
endo-borneol,GC-MS
5-methyl-1-undecene,GC-MS
Methylpalmitate,GC-MS
"Hexadecanoic acid,ethyl ester",GC-MS
"1,2-Benzenedicarboxylic acid,bis（2-methylpropyl）ester",GC-MS
9-Methyl-phenanthrene,GC-MS
"2,5-Dimethyl-phenanthrene",GC-MS
"alpha-Ethenyldecahydro-alpha-5,5,8alpha-tetramethylene-1-naphthalene-propanol",GC-MS
"4b,5,6,7,8,8a,9,10-Octohydro-4b,8-dimethyl-2-isopropyl-phenanthrene",GC-MS
n-Nonacosane,GC-MS
"(Z,Z)-3,13-Octadecadien-1-ol",GC-MS
Docosanoic acid acid,GC-MS
Palmitic acid methyl ester,GC-MS
Elemene,GC-MS
alpha－Copaene,GC-MS
alpha－Trans－bergamotene,GC-MS
Bicyclo［310］hex－2－ene，4－methyl－1－(1－methylethyl)－,GC-MS
3－Cyclohexen－1－ol，4－methyl－1－(1－methylethyl)－，(R)－,GC-MS
1，6－Cyclodecadiene，1－methyl－5－methylene－8－(1－methylethyl)－，［s－(E，E)］－,GC-MS
1，4，7－Cycloundecatriene，1，5，9，9－tetramethyl－Z，Z，Z－,GC-MS
Benzene，1－methyl－4－(1－methylethyl)－,GC-MS
1H－Cycloprop［e］azulen－7－ol，decahydro－1，1，7－trimethyl－4－methylene－，［1ar－(1aalpha，4aalpha，7beta，7abet,GC-MS
Terpineol，cis－beta－,GC-MS
Naphthalene，1，2，3，5，6，8a－hexahydro－4，7－dimethyl－1－(1－methylethyl)－，(1S－cis)－,GC-MS
dihydro-beta-ionol,GC-MS
1-methylene-4-(1-methylvinyl)cyclohexane,GC-MS
Erucamide,GC-MS
1-Tetradecene,GC-MS
Propylene Tetramer,GC-MS
1-hexadecene,GC-MS
alpha-Ionol,GC-MS
melissane,GC-MS
Phenethyl butyrate,GC-MS
9-Eicosene,GC-MS
Docosene,GC-MS
hexyl hexanoate,GC-MS
dihydro-alpha-ionol,GC-MS
dextro-linalool,GC-MS
5－epi－aristolochene,GC-MS
junipene,GC-MS
alpha－calacorene,GC-MS
delta－cadinene,GC-MS
15-hexadecanolide,GC-MS
dihydro carveol,GC-MS
isofenchol,GC-MS
isothujanol,GC-MS
alpha-nerolidol,GC-MS
beta-nerolidol,GC-MS
trans-Linalyl oxide (pyranoid),GC-MS
△-carene,GC-MS
3，7-dimethyl-1，3，6-octatriene,GC-MS
σ-Elemene,GC-MS
（Ｚ）-Ocimene,GC-MS
"2,6,11,15-tetramethyl-hexadeca-2,6,8,10,14-Pentaen",GC-MS
"3,5-di-tert-butylphenol",GC-MS
"Cyclohexanemethanol, 4-ethenyl-alpha,alpha,4-trimethyl-3-(1-methylethenyl)-, (1R,3S,4S)-",GC-MS
AroMadendrene oxide 2,GC-MS
Safrole,GC
Eucalyptol,GC
linalool,GC
Nerolidol,GC
Eugenol,GC
alpha-Pinene,GC
alpha-Humulene,GC
Caryophyllene,GC
beta-Bisabolene,GC
beta-Pinene,GC
"Azulene,1,2,3,3a,4,5,6,7-octahydro-1,4-dimethyl-7-(1-methylethenyl)-, (1R,3aR,4R,7R)-",GC-MS
"Tricyclo[5220(1,6)]undecan-3-ol, 2-methylene-6,8,8-trimethyl-",GC-MS
Methyl 6-nonynoate,GC-MS
p-Cymen-8-ol,GC-MS
Cedarene,GC-MS
"1,6-Dimethyl-4-(1-methylethyl)naphthalene",GC-MS
"2,5-Dimethyl-1,5-hexadiene",GC-MS
1-(isopropyl)-4-methylcyclohex-3-en-1-ol,GC-MS
Caryophyllene oxide,GC-MS、GC-FID
Spathulenol,GC-MS、GC-FID
Caryophyllene,GC-MS、GC-FID
beta-Pinene,GC-MS、GC-FID
alpha-Pinene,GC-MS、GC-FID
Myrcene,GC-MS、GC-FID
Limonene,GC-MS、GC-FID
iso-Spathulenol,GC-MS、GC-FID
"(1S,4aS,8aR)-1-isopropyl-7-methyl-4-methylene-1,2,3,4,4a,5,6,8a-octahydronaphthalene",GC-MS、GC-FID
trans-alpha-Bergamotene,GC-MS、GC-FID
Aromadendrene,GC-MS、GC-FID
Humulene epoxide II,GC-MS、GC-FID
alpha-Humulene,GC-MS、GC-FID
(-)-gamma-Cadinene,GC-MS、GC-FID
delta-Elemene,GC-MS、GC-FID
"E,E-decadienal","GC–MS, Co-GC"
Benzaldehyde,"GC–MS, Co-GC"
Z-beta-ocimene,"GC–MS, Co-GC"
alpha-Pinene,"GC–MS, Co-GC"
Camphene,"GC–MS, Co-GC"
E-2-hexenal,"GC–MS, Co-GC"
beta-Damascone,"GC–MS, Co-GC"
p-Cymene,"GC–MS, Co-GC"
Terpinolene,"GC–MS, Co-GC"
1-Hexanol,"GC–MS, Co-GC"
alpha-Terpinyl acetate,"GC–MS, Co-GC"
Thymol,"GC–MS, Co-GC"
alpha-Terpinene,"GC–MS, Co-GC"
Geranyl acetate,"GC–MS, Co-GC"
Tetradecane,"GC–MS, Co-GC"
"(Z)-3,7-dimethyl-1,3,6-octatriene",ATD-GC-MS
Benzaldehyde,ATD-GC-MS
"1,3-dimethyl benzene",ATD-GC-MS
2-Ethylhexan-1-ol,ATD-GC-MS
Ethylbenzene,ATD-GC-MS
Decane,ATD-GC-MS
"E,E-Cosmene",ATD-GC-MS
p-Xylene,ATD-GC-MS
"1,4-dione-2,6-bis(1,1-dimethylethyl)-2,5-cyclohexadiene pentanl-bromo-3,4-dimethy",ATD-GC-MS
Butylated hydroxyl toluene,ATD-GC-MS
Hexanal,ATD-GC-MS
Lilac alcohol C,ATD-GC-MS
(Z)3-octene,ATD-GC-MS
(E)3-octene,ATD-GC-MS
"3,7-dimethyl nonane",ATD-GC-MS
Tetracosanal,GC-FID、GC-MS
Isovaleric acid,GC-FID、GC-MS
Heicosanal,GC-FID、GC-MS
2-Methylbutanoic acid,GC-FID、GC-MS
Benzaldehyde,GC-FID、GC-MS
Docosanal,GC-FID、GC-MS
Nonanal,GC-FID、GC-MS
E-2-Hexenol,GC-FID、GC-MS
Octadecanal,GC-FID、GC-MS
1-Hexanol,GC-FID、GC-MS
Phenylacetaldehyde,GC-FID、GC-MS
Z-3-Hexenyl acetate,GC-FID、GC-MS
Hexyl acetate,GC-FID、GC-MS
E-2-Hexenyl acetate,GC-FID、GC-MS
E-2-Hexenal,GC-FID、GC-MS
"[1S-(1alpha,3alpha,5alpha)]-6,6-dimethyl-2-methylenebicyclo[3.1.1]heptan-3-ol",GC-MS
Isoleptospermone,GC-MS
endo-Fenchol,GC-MS
Camphene hydrate,GC-MS
(+)-alpha-Terpineol,GC-MS
trans-Carveole,GC-MS
Valerenol,GC-MS
Dehydroaromadendrenc,GC-MS
Trans-isolimonene,GC-MS
Cholesterilene,GC-MS
Tiglic aldehyde,GC-MS
(E)-2-methyl-2-buten-1-ol,GC-MS
n-pentanol,GC-MS
isopentanol,GC-MS
(E)-2-hexen-1-ol,GC-MS
2-Pentanone,GC-MS
hotrienol,GC-MS
n-nonanol,GC-MS
(E)-cinnamyl alcohol,GC-MS
"Decahydro-4’-methyl-1-
methylene-7-(1-
methylethenyl)-naphthalene",GC-MS
"1,2,3,4,4’,5,6,8’-Octahydro-
4’,8-dimethyl-2-(1-
methylethenyl)-naphthalene",GC-MS
"Decahydro-4’-methyl-1-
methylene-7-(1-
methylethylidene)-
naphthalene",GC-MS
"1-Ethenyl-1-methyl-2,4-
bis(1-methylethenyl)-
cyclohexane",GC-MS
"1,2,3,5,6,8’-Hexahydro-4,7-
dimethyl-1-(1-methylethyl)-
naphthalene",GC-MS
"Decaydro-1,1,7-trimethyl-4-
methylene-1H-
cycloprop[e]azulene",GC-MS
"4-Methyl-1-(1-methylethyl)-
3-cyclohexen-1-ol",GC-MS
trans-phytol,GC-MS
pentadecyl acrylate,GC-MS
propionic acid decyl ester,GC-MS
"5,5,8a-trimethylhexa-
hydro-2H-chromene",GC-MS
safranal,GC-MS
Cyclohexanone,GC-MS
alpha-Isomethyl-(E)-ionol,GC-MS
Dihydro carveol acetate,GC-MS
1-Tetradecanol,GC-MS
n-Exadecane,GC-MS
Cicloysosativene,GC-MS
10-Undecenol acetate,GC-MS
Ciperotundone,GC-MS
beta-Acorenolo,GC-MS
Lilac alcohol B,GC-MS
"9,10-dehydro-Isolongifolene",GC-MS
"6-Isopropenyl-4,8a-dimethyl-3,5,6,7,8,8a-Hexahydro-2(1H)-naphthalenone",GC-MS
4-pentyl-1-(4-propylcyclohexyl)- Cyclo-hexene,GC-MS
Dehydroxy-isocalamendiol,GC-MS
"1-Isopropyl-4,8-dimethylspiro [4.5]dec-8-en-7-one",GC-MS
9-Cedranone,GC-MS
alpha-Calacorene,GC-MS
π-tocopherol,GC-MS
4-Ethyl-2-methoxyphenol,GC-MS
1-(2-butoxyethoxy)- 2-propanol,GC-MS
2-Methoxy-5-methylphenol,GC-MS
4-Ethylphenol,GC-MS
2-Methylnaphthalene,GC-MS
8-hexadecyne,GC-MS
8-heptadecene,GC-MS
2-dodecanone,GC-MS
"3-(1,5-dimethyl-4-hexenyl)-6-methylene-cyclohexene",GC-MS
"2,6,10-trimethyl-tetradecane",GC-MS
"Dichloroacetic acid,4-hexadecyl ester",GC-MS
"2-Cyclohexen-1-one,4-(3-hydroxy-1-butenyl)-3,5,5-
trimethyl",GC-MS
"Phytol,acetate",GC-MS
"1,6,10,14-Hexadecatetraen-3-ol,3,7,11,15-tetramethyl-,(E,E)",GC-MS
"7-Tetradecenal,(Z)",GC-MS
terpinen- 4- ol,GC-MS
beta- thujene,GC-MS
( + )- limonene,GC-MS
gamma- terpinene,GC-MS
alpha- terpineol,GC-MS
alpha- terpinene,GC-MS
cis- pinocarveol,GC-MS
"3,7,11,15- tetramethyl -1-Hexadecen-3-ol",GC-MS
"9,12,15-Octadecatrienoic acid",GC-MS
isocryophyllene,GC-MS
Cocaine,GC-MS
benzyldehyde,GC-MS
Ethyl anthranilate,GC-MS
hedycaryol,GC-MS
醋酸苯甲酯,GC-MS
"醋酸-3,7,11-三甲氧基-2,6,10-十二烯-1-醇酯",GC-MS
1-Heptadecanol,GC-MS
Methyl isostearate,GC-MS
"11,14-Eicosadienoic acid, methyl ester",GC-MS
"9,12,15-Octadecatrienal",GC-MS
17-三十五烯,GC-MS
(Z)-3-hexenyl acetate,GC-MS
3-hexenol,GC-MS
hexaecyl acetate,GC-MS
ethyl salicylate,GC-MS
Styrene glycol,GC-MS
Capsaicin,GC-MS
"4-Propoxy-2, 5-dimethoxy amphetamine",GC-MS
Falcarinol (Z),GC-MS
"3, 4-Mpoxyguai-1 (10) – en-6, 12-olide",GC-MS
7-O-methyl-3-desoxy-norreticuline,GC-MS
"2, 3-Dihydrobenzofuran",GC-MS
Homofascaplysin C,GC-MS
Elymoclavine,GC-MS
Uvidin B,GC-MS
Aspidofractinine-3-methanol,GC-MS
2-Dinitrophenyl sulphone,GC-MS
5-Ethyl-1H-indene,GC-MS
5-Propyl guaiacol,GC-MS
Butyl hydroxyl anisole,GC-MS
2-Allybenzyl phenyl sulfide,GC-MS
2-Methoxyphenazine,GC-MS
"7,10-Octadecadienoic acid methyl ester",GC-MS
"2,6-Dioxopiperidine",GC-MS
"1,4-Di-O-acetyl-2, 3, 5-tri-O-methylribitol",GC-MS
"2,5-Dimethoxybenzene acetic acid",GC-MS
Tributylethylstannane,GC-MS
"5,7-Dihydroxy-4-methylcoumarin",GC-MS
"1-Phenylpyrano [3, 4-b] indol-3-one",GC-MS
"(Z, Z, Z)-9, 12, 15-Octadecatrienoic acid, ethyl ester",GC-MS
cis-7-Dodecen-1-ylacetate,GC-MS
(2R-cis)-1，2，3，4，4a，5，6，7-octahydro-. alpha. ，. alpha. ，4a，8-tetramethyl-2-Naphthalenemethanol,GC-MS
(Z)-7-Hexadecenoic acid,GC-MS
1，2，3，4，5-pentamethyl-1，3-Cyclopentadiene,GC-MS
"［2R-(2. alpha. ，4a. alpha. ，8a. beta. ) ］-1，2，3，4，4a，5，6，8a-octahydro-. alpha. ，
. alpha. ，4a，8-tetr",GC-MS
trans--ethyl cinnamate,GC-MS
ethyl phenylacete,GC-MS
methyl phenylacetate,GC-MS
ethyl laurate,GC-MS
ethyl myristate,GC-MS
phenethyl acetate,GC-MS
ethyl hexadecanoate,GC-MS
methyl myristate,GC-MS
alpha–pinene,GC-MS
"2,6-Dimethyloctane",GC-MS
2-Isopropyl-3-methoxypyrazine,GC-MS
(z)-3-hexanol,GC-MS
"trans-2,cis-6-Nonadienal",GC-MS
(E)-2-Hexenol,GC-MS
1-Dodecanol,GC-MS
"(E,Z)-2,6-Nonadienol",GC-MS
Hexadecanoic acid ethyl ester,GC-MS
cis-Linalyl oxide (furan),GC-MS
cis-Linalyl oxide (pyran),GC-MS
trans-Linalyl oxide (furan),GC-MS
"5,6,7,7-Tetrahydro-4,4,7-trimethyl-2(4H)-benzofuranone",GC-MS
"Tetracyclo [6.3.2.0(2,5).0(1,8)] tridecan-9-ol,
4, 4-dimethyl-",GC-MS
π Farnesene,GC-MS
"Naphthalene,1,2,4a,5,8,8a-hexahydro-4,7-
dimethyl-1-(1-methylethyl)-, [1S-(1π4aπ8aπ)]-",GC-MS
"Phenol, 4-(2-propenyl)-",GC-MS
"Naphthalene,1,2,3,4,4a,5,6,8a-octahydro-7-
methyl-4-methylene-1-(1-methylethyl)-
(1π4aπ8aπ)-",GC-MS
alpha-杜松醇,GC-MS
萘醇,GC-MS
3-methyl-1-butanol,GC-MS
4-Amino-3-methylphenol,GC-MS
acetoin,GC-MS
"2-(hydroxymethyl)-1,3-propanediol",GC-MS
2-Methyl-2-nitro-1-propanol,GC-MS
3-methyl-1-butanol cetate,GC-MS
"hydrazine,1-methyl-1-phenyl-",GC-MS
"2-Propanone, 1-hydroxy-",GC-MS
"cis-1,3-cyclopentanediol",GC-MS
茉莉酸甲酯,GC-MS
茉莉酮酸甲酯,GC-MS
Methyl jasmonate,GC-MS
Methyl 2-(3-oxocyclopentyl)acetate,GC-MS
Arachidonic acid,GC-MS
Docosahexaenoic acid,GC-MS
S-Methoprene,GC-MS
"12-乙二酸三环 [4.4.3.0（1,6）]十三烷- 3 ,11 -二酮",GC-MS
1，3，4，5，6，7-六氢化-7-氧基-4a（2H）-萘羧酸乙酯,GC-MS
2-[4-（1-氧丙基）苯氧基]-乙酸甲酯,GC-MS
2-（1，1-二乙基）-4-（1-甲基-1-苯乙基）-苯酚,GC-MS
"2,2'-[1,4-丁二基二(氧亚甲基)]二-环氧乙烷",GC-MS
"1,5,5,8-四甲基-12-氧杂双环[9.1.0]dodeca-3,7-二烯",GC-MS
"n,2-二甲基-2-（4-甲基-3-戊烯基）-环丙烷甲醇",GC-MS
"2-Methyl-5-((1S,2S,4R)-2-methyl-3-methylenebicyclo[2.2.1]heptan-2-yl)pent-2-en-1-ol",GC-MS
四氢-n，n，5-三甲基-5-（4-甲基-3-环己烯基），[2S-[2π5πR*)]]-2-呋喃甲醇,GC-MS
Farnesal,GC-MS
"蚁酸，3,7,11-三甲基-1,6,10-dodecatrien-3-基酯",GC-MS
"4-甲基-3,5-双（2-甲基-2-丙烯基）-2（5H）-呋喃酮",GC-MS
"顺-2,3,4,4,5,6,7,8-八氢-1,1,4,7-四甲基-1H-环苯并庚烯-7-醇",GC-MS
"4,5-脱氢-异长叶烯",GC-MS
顺-澳白檀醇,GC-MS
顺-白檀油烯醇,GC-MS
2-[4-（1-氧丙基）氧苯基]-乙酸甲酯,GC-MS
"4,7,10,13,16,19-Docosahexaenoic acid, methyl ester",GC-MS
乙酸金合欢醇,GC-MS
alpha-花柏烯,GC-MS
3-氧代-2-（2-戊炔基）-环戊基乙酸甲酯,GC-MS
"Methyl 2,5-octadecadiynoate",GC-MS
"7-环戊-2,4-二乙基-己酸乙酯",GC-MS
Ketones,GC-MS
Saturated hydrocarbons,GC-MS
Alcohols,GC-MS
Pentacosan,GC-MS
Aromatic compounds,GC-MS
alpha-Ionene,GC-MS
1-Heptacosanol,GC-MS
n-Tricosane,GC-MS
Trimethyl-bi-cyclo[3.1.1]hept-3-en-2-ol,GC-MS
4-Methyl-1-(1-methylethyl)-3-cyclohexen-1-ol,GC-MS
Manool,GC-MS
"2,5-Cyclohexadiene-1,4-dione-2,3,5,trimethyl-6-( 3-methyi-2-buteny1)",GC-MS
"3,7,11,15-Tetra-methyl-2-ene-hexadecanol",GC-MS
Androstcnonc,GC-MS
Nonadeeyl alcohol,GC-MS
Stigmast-4-en-3-one,GC-MS
Ergosterol,GC-MS
"22,23-Dihydrobrassicasterol",GC-MS
beta.-Stigmasterol,GC-MS
Triethyl citrate,GC-MS
Oleamide,GC-MS
"2,3,5,6-2,3,5,6-Tetramethylpyrazine",GC-MS
"2-Cyclohexene-1-carboxaldehyde, 2,6,6-trimethyl-",GC-MS
"Benzofuran, 2-methyl-",GC-MS
"2-Furancarboxaldehyde,5-methyl-",GC-MS
Hexenyl 2-methyl butanoate (3Z),GC-MS
Sabinyl acetate (trans),GC-MS
Aromadendrene (allo),GC-MS
Linalool isovalerate,GC-MS
"Farnesene (E, E)-alpha-",GC-MS
Valeranone,GC-MS
Bisabolol (epi-beta-),GC-MS
Cadinene (gamma),GC-MS
Humulene (alpha),GC-MS
Geosmin,GC-MS
2-quinazolinamine,GC-MS
"alpha-Farnesene, (E,E)-",GC-MS
p-Menth-1-en-4-ol,GC-MS
Himachalene,GC-MS
cis-3-Hexenyl hexanoate,GC-MS
Daucol,GC-MS
Esyl esanoate,GC-MS
Methyl isoeugenol < (Z)- >,GC-MS
Occidol acetate,GC-MS
Paeonol,GC-MS
Perillaldehyde,GC-MS
(E)-myrtanol,GC-MS
(Z)-Myrtanol,GC-MS
Lavandulol,GC-MS
alpha-Cyclogeraniol,GC-MS
( 1R)-(+)-Nopinone,GC-MS
Anetholee,GC-MS
(Z)-9-Tetradecen-1-ol,GC-MS
(E)-8-Heptadecene,GC-MS
3-Methyltricosane,GC-MS
3-Methyl-3-buten- 1-yl cinnamate,GC-MS
3-Methyl-3-buten- 1-yl acetate,GC-MS
3-Methyl-2-buten- 1-yl acetate,GC-MS
3-Methyl-2-buten- 1-yl cinnamate,GC-MS
2-Phenylethyl acetate,GC-MS
C15H24,GC-MS
Phenylacetonitrile,GC-MS
Catechol,GC-MS
lonene,GC-MS
(z)-2-decenal,GC-MS
p-Hydroxy-cinnamicacid,GC-MS
Palmiticacid,GC-MS
"6,9-dihydroxy-3-keto-a-Violetalcohol",GC-MS
"3-Hydroxy-5,6-epoxy-beta-ion one",GC-MS
2-Dodecen-1-o,GC-MS
alpha-Spinasterol,GC-MS
20beta-dihydroxy-Dammarane-23(24)-en-3-one,GC-MS
2-(4-Hydroxyphenyl)ethanol,GC-MS
"Z,Z,Z-9, 12,15-trieneighteen-1-ol",GC-MS
Farnesyl-acetone-C,GC-MS
"Benzene,1,3-bis (3-phenoxy)",GC-MS
"1,15-Hexadecadiene",GC-MS
"1,6-Octadien-3-ol, 3,7-dimethyl",GC-MS
Bicylogermacrene,GC-MS
"2,6-Octadien-1-ol",GC-MS
1-Nonadecanol,GC-MS
n-Pentacosane,GC-MS
n-Heptacosane,GC-MS
n-Pelargonaldehyde,GC-MS
n-Docosane,GC-MS
Nonacosanol,GC-MS
nonaldehyde,GC-MS
"(E,E,E)-3,7,11,15-Tetramethylhexadeca-1,3,6,10,14-pentaene",GC-MS
"phenol, 2-methoxy-3-(2-propenyl)",GC-MS
"phenol, 3,4-dimethoxy-",GC-MS
phenol-3、5-dimethoxy -,GC-MS
Diethyl phthalate,GC-MS
heptacosnae,GC-MS
phenylethy lalcohol,GC-MS
"ethanone,1-(3-methoxyphenyl)",GC-MS
"Iron, cyclopentadienyl-ethyl-1, 2-
diisoprophylphosphinnoethne",GC-MS
"2',6'-Dinitroacetanilide",GC-MS
"Dodecanoic acid, 1,2,3- propanetriyl ester",GC-MS
"Dodecanoic acid, 1, 2, 3 - propanetiyl ester",GC-MS
"Dodecanoic acid, 1,2,3-propanetriyl ester",GC-MS
"Benzenamine, 4-methoxy-N-
(triphenoylphosphoranylidene)",GC-MS
2-Methyl butyl acetate,GC-MS
Decane,GC-MS
Coahuilensol,GC-MS
Acetophenone,GC-MS
Butyl cyclohexene,GC-MS
"alpha-Farnesene-E,E",GC-MS
"p-Mentha-1,4-dien-7-al",GC-MS
Ethyl cinnamate-E-,GC-MS
carvacrol methylether,GC-MS
sabinene hydrate acetate,GC-MS
cedrenol,GC-MS
terpin-4-ol,GC-MS
cymen-8-ol,GC-MS
alpha-terpinenyl acetate,GC-MS
carvenone,GC-MS
3-methylbenzonitrile,GC-MS
(1S)-alpha-Pinene,GC-MS
D-Cadinene,GC-MS
(R)-Cuparene,GC-MS
Widdrene,GC-MS
1-bornyl acetate,GC-MS
Fenchol,GC-MS
"2,6-二丁基-4-甲基苯酚",GC-MS
"2,6,10-三甲基十四烷",GC-MS
sesqucterpenoids,GC-MS
kciones,GC-MS
(1)?spathuleaol,GC-MS
"1,3 benzodioxole (5)-2-propenyl",GC-MS
trans-caryophyillene,GC-MS
beta-Salinene,GC-MS
stearaldehyde,GC-MS
decanal (laural aldehyde),GC-MS
bornylene,GC-MS
delta-Eudesmol,GC-MS
Laevojunenol,GC-MS
Espatulenol,GC-MS
cis-Asarone,GC-MS
"1,2,3,5,6,7,8,8a-Octahydro-1-methyl-6-methylene-4-(1-methylethyl)naphthalene",GC-MS
Bis(trimethylsilyl)trifluoroacetamide,GC-MS
beta-Elemen,GC-MS
Zingiberene,GC-MS
1-Methyl-2-(1-methylethenyl)-benzene,GC-MS
beta-Famesene,GC-MS
Isospathulenol,GC-MS
lambda-Gurjunene,GC-MS
1-Butanol,GC-MS
D-Verbenone,GC-MS
beta-(甜)没药烯,GC-MS
"Benzene,1-methyl-2-(1-methylenthyl)-",GC-MS
"3-(1,5-Dimethyl-4-hexenyl)-6-methylene-1-cyclohexene",GC-MS
"1,3,3－trimethyl－bicyclo［2,2,1］heptan－2－one",GC-MS
"6,7－dimethoxy－2,2－dimethyl－2H－1－benzopyran",GC-MS
"cis,cis,cis－1,1,4,8－tetramethyl－4,7,10－cycloundecatriene",GC-MS
2H－1－benzopyran－2－one,GC-MS
(S)－1－methyl－4－(5－methyl－1－methylene－4－hexenyl)－cyclohexene,GC-MS
isocaryophillene,GC-MS
"7－methoxy－2,2－dimethyl－2H－1－benzopyran",GC-MS
1－methoxy－4－(1－propenyl)－benzen,GC-MS
matricarin,GC-MS
"[S－(R,S)]－3－(1,5－dimethyl－4－hexenyl)－6－methylene－cyclohexene",GC-MS
cis-Anethole,GC-MS
alpha-Caryophylene,GC-MS
Caryophylene,GC-MS
1-(4-Methoxyphenyl)-2-propanol,GC-MS
2-(1-Methoxypropyl)phenol,GC-MS
gamma-Gurzunene,GC-MS
"Menthen-2,3-diol",GC-MS
Pentyl vinyl ketone,GC-MS
Fokienol,GC-MS
Capronaldehyde,GC-MS
Coumarin,GC-MS
methyl tetradecanoate,GC-MS
Methyl dodecanoate,GC-MS
methyl nonanoate,GC-MS
methyl octanoate,GC-MS
methyl butyrate,GC-MS
valeralde hyde,GC-MS
methyl hexanoate,GC-MS
3-methyl-2-butanol,GC-MS
2，3-dihydro-benzofuran,GC-MS
(e) -1-(2，6，6-trimethyl-1，3-cyclohexadien-1-yl)-2-buten-1-one,GC-MS
( e ) -4-( 2，6，6-trimethyl-2-cyclohexen-1-yl )-3-buten-2-one,GC-MS
"4-(2，2，6-trimethyl-7-oxabicyclo［4, 1, 0 ］hept-1-yl) -3-buten-2-one",GC-MS
5， 6， 7， 7a-tetrahydro-4， 4， 7a-trimethyl-2(4H) benzofuranone,GC-MS
1-isopropenyl-3，3-dimethyl-5-( 3-methyl-1-oxo-2-butenyl) cyclopentane,GC-MS
2-dimethylamino-4-methyl-pent-4-enenitrile,GC-MS
"2-Naphthalenemethanol,a,a,4a,8-tetramethyl",GC-MS
Agarospirol,GC-MS
(-)Aristolene,GC-MS
"Cyclohexanemethanol,4-ethenyl-a,a,4-trimethyl-3-(1-methylethenyl)",GC-MS
"Naphthalene,4,7-dimethyl-1-(1-methylethyl)",GC-MS
"Cyclohexene,1-methyl-4-(5-methyl-1-methylene-4-hexenyl)",GC-MS
"Bicyclo[4,3,0]-nonane,3-butyl-4-hexyl",GC-MS
"1,3-Cyclohexadiene,5-(1,5-dimethyl-4-hexenyl)-2-methyl",GC-MS
"1H-Cyclopropa azulene,1,1,4,7-tetramethyl",GC-MS
Pyridine,GC-MS
Propanamide,GC-MS
"5-Amino-1-(quinolin-8-yl)-1,2,3-triazole-4-carboxamide",GC-MS
"N-Methoxy-N-methyl-3,4-dihydro-2H-thiopyran-6-carboxamide",GC-MS
"2,3-Dihydroxypropyl tetradecanoate",GC-MS
"1,3-Dioctanoin",GC-MS
E-beta-Ocimene,GC-MS
"E,E-cosmene",GC-MS
Caryophellene,GC-MS
(R)-(+)-Citronellal,GC-MS
(+)-citronellol,GC-MS
m-eugenol,GC-MS
"cadine-1,4-diene",GC-MS
"3,7-dimethyl-2,6-octadiene",GC-MS
cis-Citral,GC-MS
Neril acetate,GC-MS
cis-Dihydrocarvone,GC-MS
beta-Cudesmol,GC-MS
"顺，顺,顺-7, 10, 13-十六碳二烯醛",GC-MS
cis-2-Penten-1-ol,GC-MS
Octadecanal,GC-MS
Isovanillin,GC-MS
"3-hexen-1-ol,( Z)-",GC-MS
"furan , 2-ethyl-",GC-MS
"trimethyl-1,3-cyclohexadien-1-yl)-,(E)-",GC-MS
"5,9-undecadien-2-one,6,10-dimethyl-,( E)-",GC-MS
"3-buten-2-one,4-( 2,6,6-trime-thyl-1-cyclohexen-1-yl),(E)-",GC-MS
"2(4H )-benzofuranone,5 ,6,7,7a-tetrahvdro-4,4.7a-trimethvl-",GC-MS
"tridecane,7-hexyl-",GC-MS
"heptadecane,8-hexyl-",GC-MS
"heptadecane,7-hexyl-",GC-MS
Octhyl phthalate,GC-MS
Di (2-ethyl hexyl ) phthalate,GC-MS
"Phenol-2,4-bis(1,1-dimethyl ethyl)",GC-MS
Tetradecane ,GC-MS
"Tetradecanoic acid, trimethyl silyl ester(isomeric form)",GC-MS
Sulfur content,GC-MS
"2,6,10-Trimethyl tetradecane",GC-MS
"Hexadecanoic acid,ethylester",GC-MS
Isopropyl palmitate,GC-MS
Leaf alcohol,GC-MS
1-Nonanal,GC-MS
"2,6-DIMETHYLCYCLOHEXANOL",GC-MS
Benzylhydrazine,GC-MS
1-Nonanol,GC-MS
4'-Hydroxy-3'-methylacetophenone,GC-MS
"2-亚乙基-6-甲基 - 庚基-3,5-二烯",GC-MS
Irisone,GC-MS
"(5E,9E)-6,10,14-Trimethylpentadeca-5,9,13-trien-2-one",GC-MS
( E)-2-hexenal,GC-MS
Cyclopentanol,GC-MS
1-hexene,GC-MS
